FREQ0	FREQ1	RHO0	RHO1	COUNT	MEAN	SD
0	0.02	0	5.18556330379426e-06	51199	-3.66496025312997	1.92037142139521
0	0.02	5.18556330379426e-06	3.03586740994656e-05	53678	-3.52814465889191	1.64724608291781
0	0.02	3.03586740994656e-05	6.53253569682131e-05	56644	-3.42326165171954	1.53587965771701
0	0.02	6.53253569682131e-05	0.000108669489167559	54718	-3.19925839760223	1.46896649292339
0	0.02	0.000108669489167559	0.000166675797815345	54867	-3.07047529480381	1.41845829989892
0	0.02	0.000166675797815345	0.000251362593290369	55690	-2.90590874483748	1.39571106712624
0	0.02	0.000251362593290369	0.000393942495754424	55209	-2.79916488253725	1.349361471947
0	0.02	0.000393942495754424	0.000689784071096414	54456	-2.66489525488465	1.28613900075867
0	0.02	0.000689784071096414	0.00176919664411648	56080	-2.40380404778888	1.24428474382667
0	0.02	0.00176919664411648	1.1258259270257	59182	-1.78906581392992	1.12035514630525
0.02	0.04	0	5.18556330379426e-06	64581	-3.70027867329403	1.66566714136529
0.02	0.04	5.18556330379426e-06	3.03586740994656e-05	71158	-3.55402217600274	1.29852727360706
0.02	0.04	3.03586740994656e-05	6.53253569682131e-05	72361	-3.44151418581834	1.18578692170339
0.02	0.04	6.53253569682131e-05	0.000108669489167559	71831	-3.24440930795901	1.10883960276754
0.02	0.04	0.000108669489167559	0.000166675797815345	71284	-3.10107904999716	1.06540991987675
0.02	0.04	0.000166675797815345	0.000251362593290369	70637	-2.96475375511416	1.05117696430697
0.02	0.04	0.000251362593290369	0.000393942495754424	71143	-2.85132233670214	1.01804492683591
0.02	0.04	0.000393942495754424	0.000689784071096414	70114	-2.69937979576119	0.994354138898126
0.02	0.04	0.000689784071096414	0.00176919664411648	71225	-2.45161367497366	0.970014800628114
0.02	0.04	0.00176919664411648	1.1258259270257	74213	-1.81886123724953	0.904274768137631
0.04	0.06	0	5.18556330379426e-06	42842	-3.31281935950704	1.58821044144562
0.04	0.06	5.18556330379426e-06	3.03586740994656e-05	47312	-3.18882634426781	1.26419264844484
0.04	0.06	3.03586740994656e-05	6.53253569682131e-05	50019	-3.09475571282915	1.16121635302403
0.04	0.06	6.53253569682131e-05	0.000108669489167559	48811	-2.87145127122984	1.09330977344103
0.04	0.06	0.000108669489167559	0.000166675797815345	47546	-2.77376845581121	1.02588390603514
0.04	0.06	0.000166675797815345	0.000251362593290369	47439	-2.64418598621387	1.01613628753591
0.04	0.06	0.000251362593290369	0.000393942495754424	46500	-2.53184027956988	0.991330210648814
0.04	0.06	0.000393942495754424	0.000689784071096414	46683	-2.38918801276696	0.961928636223612
0.04	0.06	0.000689784071096414	0.00176919664411648	47928	-2.15501667083959	0.925209466173844
0.04	0.06	0.00176919664411648	1.1258259270257	48737	-1.59008311960111	0.854727860919485
0.06	0.08	0	5.18556330379426e-06	34405	-2.98773152158116	1.55324548261752
0.06	0.08	5.18556330379426e-06	3.03586740994656e-05	36695	-2.91117661806787	1.22049818359736
0.06	0.08	3.03586740994656e-05	6.53253569682131e-05	37117	-2.78605094700541	1.1243006216679
0.06	0.08	6.53253569682131e-05	0.000108669489167559	35677	-2.61205563808614	1.05191759544579
0.06	0.08	0.000108669489167559	0.000166675797815345	37511	-2.4981418517235	1.01180504680403
0.06	0.08	0.000166675797815345	0.000251362593290369	36249	-2.37672862699661	0.999376348117771
0.06	0.08	0.000251362593290369	0.000393942495754424	35932	-2.28418432038294	0.948348465788954
0.06	0.08	0.000393942495754424	0.000689784071096414	36538	-2.1417889594395	0.925667238853956
0.06	0.08	0.000689784071096414	0.00176919664411648	35747	-1.92136937365376	0.874868309786861
0.06	0.08	0.00176919664411648	1.1258259270257	36080	-1.39789307095343	0.786320445349528
0.08	0.1	0	5.18556330379426e-06	27052	-2.6700100177436	1.48554681947846
0.08	0.1	5.18556330379426e-06	3.03586740994656e-05	28698	-2.60469565823402	1.19872558348152
0.08	0.1	3.03586740994656e-05	6.53253569682131e-05	29962	-2.55687847940722	1.07293005565465
0.08	0.1	6.53253569682131e-05	0.000108669489167559	30118	-2.35458313965074	1.03702536256054
0.08	0.1	0.000108669489167559	0.000166675797815345	29799	-2.26054397798582	0.989361372791615
0.08	0.1	0.000166675797815345	0.000251362593290369	29511	-2.14163051065705	0.941902935725497
0.08	0.1	0.000251362593290369	0.000393942495754424	29814	-2.07074961427516	0.928066224131888
0.08	0.1	0.000393942495754424	0.000689784071096414	30006	-1.92192768113044	0.877803413164689
0.08	0.1	0.000689784071096414	0.00176919664411648	29413	-1.73208115459151	0.842810489811015
0.08	0.1	0.00176919664411648	1.1258259270257	29424	-1.24100180125068	0.751506263560753
0.1	0.12	0	5.18556330379426e-06	22796	-2.50237212668889	1.36878357442788
0.1	0.12	5.18556330379426e-06	3.03586740994656e-05	24414	-2.40915675432129	1.14400271334073
0.1	0.12	3.03586740994656e-05	6.53253569682131e-05	25215	-2.30998207416221	1.03204745481617
0.1	0.12	6.53253569682131e-05	0.000108669489167559	25269	-2.18773627765247	1.00693871272244
0.1	0.12	0.000108669489167559	0.000166675797815345	25163	-2.06548396455114	0.962244821914197
0.1	0.12	0.000166675797815345	0.000251362593290369	24919	-1.97848384766645	0.92822601638444
0.1	0.12	0.000251362593290369	0.000393942495754424	25412	-1.88098662049426	0.896109179959707
0.1	0.12	0.000393942495754424	0.000689784071096414	25983	-1.76259966131702	0.861453425361648
0.1	0.12	0.000689784071096414	0.00176919664411648	25408	-1.56077050535265	0.807141875993753
0.1	0.12	0.00176919664411648	1.1258259270257	25042	-1.12205347017011	0.719014462655814
0.12	0.14	0	5.18556330379426e-06	21845	-2.29350652323188	1.40928968723833
0.12	0.14	5.18556330379426e-06	3.03586740994656e-05	22289	-2.18462636277986	1.094400149899
0.12	0.14	3.03586740994656e-05	6.53253569682131e-05	22969	-2.1178586790892	1.04626948082681
0.12	0.14	6.53253569682131e-05	0.000108669489167559	22368	-1.99218369992848	0.958555560637011
0.12	0.14	0.000108669489167559	0.000166675797815345	22273	-1.90795290261752	0.941280029821097
0.12	0.14	0.000166675797815345	0.000251362593290369	22582	-1.82421995394562	0.914058244728988
0.12	0.14	0.000251362593290369	0.000393942495754424	22987	-1.70573789533215	0.861594587279608
0.12	0.14	0.000393942495754424	0.000689784071096414	22704	-1.60704770084566	0.839840236445036
0.12	0.14	0.000689784071096414	0.00176919664411648	22611	-1.43935898456503	0.794570051141388
